Населенный пункт,Аэропорт,Код ИАТА,Код ИКАО,Код РФ
Абакан,Абакан,ABA,UNAA,АБН
Алдан,Алдан,ADH,UEEA,АЛД
Амдерма,Амдерма,AMV,ULDD,АМД
Анадырь,Угольный,DYR,UHMA,АНЫ
Анапа,Витязево,AAQ,URKA,АНА
Апатиты,Апатиты-Кировск,KVK,ULMK,АПХ
Архангельск,Васьково,not_data,ULAH,ВСЬ
Архангельск,Талаги,ARH,ULAA,АРХ
Астрахань,Астрахань,ASF,URWA,АСР
Ачинск,Ачинск,ACS,UNKS,АЧН
Багдарин,Багдарин,not_data,UIUB,not_data
Барнаул,Барнаул,BAX,UNBB,БАН
Белгород,Белгород,EGO,UUOB,БЕД
Белорецк,Белорецк,BCX,UWUB,БЕЦ
Бийск,Бийск,not_data,UNBI,БСК
Билибино,Кепервеем,not_data,UHMK,КПМ
Благовещенск,Игнатьево,BQS,UHBB,БГЩ
Бор,Подкаменная,Тунгуска,TGP,UNIP
Братск,Братск,BTK,UIBB,БРС
Брянск,Брянск,BZK,UUBP,БРЯ
Бугульма,Бугульма,UUA,UWKB,БУГ
Бугуруслан,Бугуруслан,not_data,UWWB,БГГ
Варандей,Варандей,not_data,ULDW,ВРЙ
Великие,Луки,Великие,Луки,VLU
Великий,Устюг,Великий,Устюг,VUS
Владивосток,Кневичи,VVO,UHWW,ВВО
Владикавказ,Беслан,OGZ,URMO,ВЛА
Владимир,Семязино,not_data,UUBL,ВЛМ
Волгоград,Гумрак,VOG,URWW,ВГГ
Вологда,Вологда,VGD,ULWW,ВГД
Воркута,Воркута,VKT,UUYW,ВКТ
Воронеж,Придача,not_data,UUOD,not_data
Воронеж,Чертовицкое,VOZ,UUOO,ВРН
Вуктыл,Вуктыл,not_data,UUYK,not_data
Геленджик,Геленджик,GDZ,URKG,ГДЖ
Горно-Алтайск,Горно-Алтайск,not_data,UNBG,ГОР
Грозный,Грозный,GRV,URMG,ГРН
Диксон,Диксон,DKS,UODD,ДИК
Екатеринбург,Кольцово,SVX,USSS,КЛЦ
Екатеринбург,Уктус,not_data,USSK,УКС
Енисейск,Енисейск,EIE,UNII,ЕНС
Жиганск,Жиганск,not_data,UEVV,ЖИГ
Иваново,Иваново-Южный,IWA,UUBI,ИВВ
Игарка,Игарка,IAA,UOII,ИГР
Ижевск,Ижевск,IJK,USII,ИЖВ
Инта,Инта,INA,UUYI,ИНТ
Иркутск,Иркутск,IKT,UIII,ИКТ
Йошкар-Ола,Йошкар-Ола,JOK,UWKJ,ИШО
Казань,Казань,KZN,UWKD,КЗН
Калининград,Храброво,KGD,UMKK,КЛД
Каратайка,Каратайка,not_data,ULDT,КТЙ
Кемерово,Кемерово,KEJ,UNEE,КРВ
Киров,Победилово,KVX,USKK,КИО
Когалым,Когалым,KGP,USRK,КОГ
Комсомольск-на-Амуре,Дземги,not_data,UHKD,not_data
Комсомольск-на-Амуре,Хурба,KXK,UHKK,КСЛ
Костомукша,Костомукша,not_data,ULPM,not_data
Кострома,Сокеркино,KMW,UUBA,КОР
Котлас,Котлас,KSZ,ULKK,КТС
Краснодар,Пашковский,KRR,URKK,КПА
Краснодар,Энем,not_data,URKN,ЭНЕ
Краснокаменск,Краснокаменск,not_data,UIAE,КНК
Красноярск,Емельяново,KJA,UNKL,ЕМВ
Красноярск,Черемшанка,not_data,UNKM,КЯС
Красный,Кут,Красный,Кут,not_data
Курган,Курган,KRO,USUU,КГН
Курильск,Буревестник,BVV,not_data,not_data
Курск,Восточный,URS,UUOK,КУС
Кызыл,Кызыл,KYZ,UNKY,КЫЫ
Лешуконское,Лешуконское,LDG,ULAL,ЛЕШ
Липецк,Липецк,LPK,UUOL,ЛИП
Магадан,Магадан-13,not_data,UHMT,МГД
Магадан,Сокол,GDX,UHMM,МДС
Магдагачи,Магдагачи,GDG,UHBI,МДЧ
Магнитогорск,Магнитогорск,MQF,USCM,МГС
Махачкала,Уйташ,MCX,URML,МХЛ
Мезень,Мезень,not_data,ULAE,МЗН
Минеральные,Воды,Минеральные,Воды,MRV
Мирный,Мирный,MJZ,UERR,МИР
Москва,Быково,BKA,UUBB,БКВ
Москва,Внуково,VKO,UUWW,ВНК
Москва,Домодедово,DME,UUDD,ДМД
Москва,Остафьево,not_data,UUMO,ОСФ
Москва,Раменское,not_data,UUBW,РНЦ
Москва,Солнцево,not_data,not_data,СОЦ
Москва,Шереметьево,SVO,UUEE,ШРМ
Мурманск,Мурманск,MMK,ULMM,МУН
Мыс,Шмидта,Мыс,Шмидта,not_data
Надым,Надым,NYM,USMM,НДМ
Нальчик,Нальчик,NAL,URMN,НЧК
Нарьян-Мар,Нарьян-Мар,NNM,ULAM,ННР
Нерюнгри,Чульман,CNN,UELL,НРГ
Нижнеангарск,Нижнеангарск,not_data,UIUN,ИЖГ
Нижневартовск,Нижневартовск,NJC,USNN,НЖВ
Нижнекамск,Бегишево,NBC,UWKE,НЖК
Нижний,Новгород,Стригино,GOJ,UWGG
Никольское,Никольское,not_data,not_data,НИК
Новокузнецк,Спиченково,NOZ,UNWW,НВК
Новосибирск,Ельцовка,not_data,UNNE,НВЦ
Новосибирск,Толмачёво,OVB,UNNT,ТЛЧ
Новый,Уренгой,Новый,Уренгой,NUX
Ноглики,Ноглики,NGL,UHSN,НГЛ
Норильск,Алыкель,NSK,UOOO,НАК
Ноябрьск,Ноябрьск,NOJ,USRO,НОЯ
Нягань,Аэропорт,Нягань,not_data,USHN
Октябрьский,Октябрьский,OKT,UWUK,ОКТ
Омск,Омск-Северный,not_data,UNOS,ОМВ
Омск,Омск-Центральный,OMS,UNOO,ОМС
Онега,Онега,not_data,ULAO,ОНА
Орёл,Орёл-Южный,OEL,UUOR,ОЕЛ
Оренбург,Оренбург-Центральный,REN,UWOO,ОНГ
Орск,Орск,OSW,UWOR,ОСК
Оха,Оха,OHH,UHSH,ОХА
Охотск,Охотск,OHO,UHOO,ОХТ
Певек,Певек,PWE,UHMP,ПЕВ
Пенза,Пенза,PEZ,UWPP,ПНА
Пермь,Большое,Савино,PEE,USPP
Петрозаводск,Бесовец,PES,ULPB,ПТБ
Петрозаводск,Пески,not_data,ULPP,ПТД
Петропавловск-Камчатский,Елизово,PKC,UHPP,ПРЛ
Печора,Печора,PEX,UUYP,ПЧР
Провидения,Бухта,Провидения,PVS,UHMD
Псков,Псков,PKV,ULOO,ПСК
Пушкин,Пушкин,not_data,ULLP,ПШН
Радужный,Радужный,RAT,USNR,РАД
Ростов-на-Дону,Ростов-на-Дону,ROV,URRR,РОВ
Рыбинск,Староселье,RYB,UUBK,РБН
Рязань,Дягилево,RZN,UUBD,РЗН
Рязань,Турлатово,RZN,UUBR,РЯТ
Салехард,Салехард,SLY,USDD,СХД
Самара,Курумоч,KUF,UWWW,СКЧ
Самара,Смышляевка,not_data,UWWS,СМЫ
Санкт-Петербург,Пулково,LED,ULLI,ПЛК
Саранск,Саранск,SKX,UWPS,СРН
Саратов,Саратов-Центральный,RTW,UWSS,СРО
Сибай,Сибай,not_data,UWUA,not_data
Смоленск,Смоленск-Южный,LNX,not_data,СМЛ
Советская,Гавань,Май-Гатка,GVN,UHKM
Соловецкие,острова,Соловки,CSH,ULAS
Сочи,Адлер-Сочи,AER,URSS,СОЧ
Ставрополь,Шпаковское,STW,URMT,СТВ
Старый,Оскол,Старый,Оскол,not_data
Стерлитамак,Стерлитамак,not_data,UWUS,СТМ
Сургут,Сургут,SGC,USRR,СУР
Сыктывкар,Сыктывкар,SCW,UUYY,СЫВ
Таганрог,Таганрог-Южный,not_data,URRT,ТАГ
Тамбов,Донское,TBW,UUOT,ТМБ
Тверь,Змеёво,not_data,UUBN,ТРЬ
Тверь,Мигалово,not_data,UUEM,ТВГ
Тикси,Тикси,IKS,UEST,ТСИ
Тиличики,Тиличики,not_data,UHPT,ТИЛ
Тобольск,Тобольск,TOX,USTO,ТБЛ
Тольятти,Тольятти,not_data,UWWT,not_data
Томск,Богашёво,TOF,UNTT,ТСК
Томск,Головино,not_data,not_data,not_data
Тура,Горный,not_data,UNIT,ТАУ
Тында,Тында,TYD,UHBW,ТЫД
Тюмень,Плеханово,not_data,USTL,ПЛХ
Тюмень,Рощино,TJM,USTR,РЩН
Удачный,Полярный,PYJ,UERP,ПЛЯ
Улан-Удэ,Байкал,UUD,UIUU,УЛЭ
Улан-Удэ,Улан-Удэ-Восточный,not_data,UIUW,not_data
