Ульяновск,Баратаевка,ULY,UWLL,УЛК
Ульяновск,Ульяновск-Восточный,not_data,UWLW,УЛС
Усть-Кут,Усть-Кут,UKX,UITT,УСК
Усть-Нера,Усть-Нера,not_data,UEMT,УНР
Усинск,Усинск,USK,UUYS,not_data
Уфа,Уфа,UFA,UWUU,УФА
Ухта,Ухта,UCT,UUYH,УХТ
Хабаровск,Хабаровск,not_data,UHHT,ХБА
Хабаровск,Хабаровск-Новый,KHV,UHHH,ХБР
Хандыга,Тёплый,Ключ,not_data,UEMH
Ханты-Мансийск,Ханты-Мансийск,HMA,USHH,ХАС
Харута,Харута,not_data,not_data,ХАУ
Хатанга,Хатанга,HTG,UOHH,ХАТ
Цимлянск,Волгодонск,VLK,not_data,ВЛД
Чара,Чара,not_data,UIAR,ЧАР
Чебоксары,Чебоксары,CSY,UWKS,ЧБЕ
Челябинск,Челябинск,CEK,USCC,ЧЛБ
Череповец,Череповец,CEE,ULWC,ЧРВ
Черский,Черский,CYX,UESS,ЧРС
Чита,Кадала,HTA,UIAA,СХТ
Чокурдах,Чокурдах,CKH,UESO,ЧКД
Шахтерск,Шахтерск,EKS,UHSK,ШАХ
Щёлково,Чкаловский,CKL,UUMU,not_data
Элиста,Элиста,ESL,URWI,ЭЛИ
Южно-Курильск,Менделеево,DEE,UHSM,ЮЖК
Южно-Сахалинск,Хомутово,UUS,UHSS,ЮЖХ
Якутск,Якутск,YKS,UEEE,ЯКТ
Ямбург,Ямбург,not_data,USMY,ЯМБ
Ярославль,Левцово,not_data,UUBX,ЯРВ
Ярославль,Туношна,IAR,UUDL,ЯРТ
